Time (s),CPU Load (%)
0,0.0
1,11.452694763935838
2,18.45020484088068
3,8.798580969262401
4,29.985295987879972
5,9.47327146025944
6,6.686571752567661
7,7.238308770249255
8,7.410941149050524
9,7.365440793429811
10,8.839229041630912
11,18.212261159633325
12,15.063350464323914
13,10.565922089364353
14,15.365177426092341
15,14.281756054650158
16,12.751747805792625
17,13.000463337192803
18,12.655765498192888
19,15.045435217761803
20,12.256197917691603
21,13.686593132863242
22,14.407124413074321
23,12.993895082425567
24,18.510670823684375
25,13.619404505144189
26,15.04822508327863
27,13.916749317653936
28,13.107033511574345
29,10.810426118015126
30,13.36339569948661
31,14.191097965931101
32,15.438367584115047
33,12.717603023731678
34,14.979464867197358
35,14.57381794758755
36,13.209729099782784
37,9.610958947070195
38,13.078918008313716
39,13.201022332362786
40,14.851002805982485
41,13.344204840088022
42,12.485920258474424
43,13.91350377311852
44,16.510530212641587
45,13.940953440953848
46,14.46228972771019
47,15.283053253372664
48,15.26536578562238
49,15.498667465909174
50,14.31019323017049
51,14.382865275537437
52,13.714050835013524
53,15.34621180580838
54,14.609449171113038
55,14.941078597737896
56,13.569606740654892
57,11.476735994691573
58,11.09037242107624
59,14.427019414698512
60,13.922466609116967
61,6.141221105287593
62,1.4348770078416744
63,13.002037685679788
64,14.052838240871516
65,14.554108090472734
