Time (s),CPU Load (%)
0,0.0
1,8.85286783042394
2,14.676616915422885
3,8.782936010037641
4,29.1044776119403
5,6.117353308364544
6,5.486284289276807
7,5.992509363295881
8,6.741573033707865
9,6.516290726817042
10,6.724782067247821
11,17.06102117061021
12,13.516896120150188
13,10.559006211180124
14,13.092269326683292
15,13.216957605985039
16,11.166253101736972
17,11.485642946317103
18,11.318407960199005
19,12.79503105590062
20,11.70610211706102
21,11.625
22,11.194029850746269
23,11.346633416458852
24,16.10486891385768
25,12.531017369727046
26,12.094763092269327
27,11.278195488721805
28,12.639405204460965
29,8.3645443196005
30,12.686567164179104
31,10.362047440699126
32,12.779156327543426
33,11.735330836454432
34,12.85892634207241
35,13.216957605985039
36,11.910669975186105
37,9.203980099502488
38,11.5
39,12.313432835820896
40,12.079701120797012
41,11.875
42,12.204234122042342
43,11.028500619578686
44,13.5
45,13.840399002493767
46,14.214463840399002
47,12.8428927680798
48,13.184079601990051
49,12.702366127023662
50,12.468827930174564
51,11.33250311332503
52,11.33250311332503
53,14.606741573033707
54,13.698630136986301
55,13.930348258706468
56,12.702366127023662
57,9.838107098381071
58,10.211706102117061
59,11.528822055137844
60,12.034739454094293
61,4.720496894409938
62,1.375
